subj_length,subj_urgency,subj_is_reply_fwd,body_length,body_has_html,tfidf_00,tfidf_09,tfidf_0d,tfidf_10,tfidf_11,tfidf_12,tfidf_19,tfidf_20,tfidf_2002,tfidf_2015,tfidf_3d,tfidf________________________________________________,tfidf_access,tfidf_account,tfidf_address,tfidf_aol,tfidf_army,tfidf_click,tfidf_cnet,tfidf_com,tfidf_content,tfidf_date,tfidf_dear,tfidf_don,tfidf_edu,tfidf_email,tfidf_exmh,tfidf_file,tfidf_free,tfidf_gif,tfidf_gov,tfidf_group,tfidf_help,tfidf_home,tfidf_hostedemail,tfidf_hotmail,tfidf_html,tfidf_http,tfidf_https,tfidf_id,tfidf_ilug,tfidf_information,tfidf_jose,tfidf_just,tfidf_know,tfidf_like,tfidf_linux,tfidf_list,tfidf_listinfo,tfidf_lists,tfidf_ll,tfidf_mail,tfidf_mailing,tfidf_mailman,tfidf_make,tfidf_message,tfidf_messages,tfidf_mil,tfidf_monkey,tfidf_need,tfidf_net,tfidf_new,tfidf_news,tfidf_online,tfidf_org,tfidf_people,tfidf_razor,tfidf_received,tfidf_rpm,tfidf_said,tfidf_security,tfidf_sent,tfidf_server,tfidf_service,tfidf_software,tfidf_sourceforge,tfidf_spam,tfidf_spamassassin,tfidf_subject,tfidf_text,tfidf_think,tfidf_time,tfidf_type,tfidf_uk,tfidf_update,tfidf_usaa,tfidf_use,tfidf_users,tfidf_using,tfidf_ve,tfidf_version,tfidf_want,tfidf_way,tfidf_web,tfidf_work,tfidf_world,tfidf_wrote,tfidf_www,tfidf_yahoo,tfidf_zdnet,url_count,url_has_ip,url_has_shortener,label
13,0,0,272,0,0.47084865454291425,0.0,0.0,0.4339754351445152,0.0,0.0,0.0,0.0,0.29784278770678835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2458582582015065,0.0,0.41485019339064216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46429364357078073,0.23052328835703786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
54,0,1,1310,0,0.0,0.0,0.0,0.32084051409584313,0.0,0.0,0.0,0.8032715977952001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1817644123792679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17042718172033633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22138862234454837,0.0,0.0,0.0,0.0,0.24674023872332296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2825574477954616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
37,0,0,197,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5372411435257259,0.0,0.34373532205316054,0.0,0.5800035592543482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32229544512275593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3910748002385128,0.0,0.0,0,0,0,0
36,0,0,318,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.186668324547804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.650607457589575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19976355769306628,0.0,0.0,0.0,0.6535472736722883,0.0,0.0,0.0,0.0,0.0,0.16574828708102152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2176300993943173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
31,0,1,1188,0,0.0,0.0,0.0,0.14483835489097388,0.0,0.0,0.0,0.0,0.09940438074156746,0.0,0.0,0.13269305113643665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08205465740798981,0.0,0.0,0.0,0.1345116143497155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23080993401324051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14133510630272195,0.4126790149212811,0.09994237773345761,0.14122941110176895,0.15743395166603882,0.0,0.12703370679727236,0.11138696234421502,0.15046320918608497,0.0,0.0,0.0,0.0,0.0,0.24308631727760496,0.0,0.3594332738105011,0.0,0.0,0.0,0.0,0.0,0.5492362254589441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1323369850804293,0.0,0.0,0.0,0.0,0.0,0.0,0.14633319125914915,0.0,0.0,0.15692885164911657,0.0,0.0,0.0,0.0,0.12263170230703739,0.09335528441707949,0.0,0.0,0,0,0,0
34,0,1,1356,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33689821014130383,0.18470448125239483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15246675063836576,0.0,0.0,0.0,0.4998753126480093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22464761338986686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2795775074796585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5815885295912315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24589695139628082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22786344817746795,0.0,0.0,0.0,0,0,0,0
31,0,0,3576,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14919737387875162,0.17324949431051076,0.0,0.0,0.136089566920038,0.0,0.0,0.40035938963913736,0.0,0.0,0.0,0.0,0.47581115427429094,0.0,0.0,0.1662210277152471,0.0,0.0,0.4430092514810191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13263953208132775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08353046399390404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13535603743212538,0.0,0.3663216428001949,0.0,0.0,0.0,0.19402014342550816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14042929940260387,0.0,0.0,0.1771845392092738,0.0,0.13231441493192075,0.0,0.0,0.0,0.0,0.0,0.15959684279373848,0.0,0.0,0.0,0.0,0.09906389493650364,0.0,0.0,0,0,0,1
40,0,0,746,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2571717456266691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241131117205711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3132345750466878,0.0,0.0,0.0,0.0,0.34910363958602747,0.0,0.0,0.0,0.0,0.0,0.4632684532646923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5187313705696445,0.0,0.0,0.41476418937300413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
24,0,1,338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1901315859590832,0.0,0.0,0.0,0.0,0.0,0.10511688066740654,0.0,0.0,0.4656522446468007,0.17077948944306,0.0,0.0,0.0,0.0,0.7724124475068485,0.14095861260547404,0.13654911828737068,0.0,0.0,0.0,0.0,0.1521856077646565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17954806145077445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12754931455219345,0.0,0.0,0,0,0,0
27,0,1,1112,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07190268903061482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100659473980071,0.0,0.0,0.0,0.0,0.0,0.05565098434872414,0.0,0.0,0.24652563521914417,0.09041408605103081,0.0,0.0,0.0,0.0,0.4089306375345268,0.0746263159077687,0.07229184119995286,0.0,0.0,0.0,0.0,0.08057011226017126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18453159814241446,0.0,0.0,0.0,0.0,0.0,0.0,0.7945638055166538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09572400144240541,0.0,0.0,0.0,0.0,0.0,0.09505634389262299,0.0,0.0,0.12360253311668132,0.1135121645130827,0.10878960782957448,0.0,0.0,0.0,0.0,0.06752716464535989,0.0,0.0,0,0,0,0
